gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,sic,at,lt,lct,act,che,invt,rect,sale,cogs,oiadp,ni,ib,year,current_ratio,quick_ratio,debt_ratio,roe,gross_margin,net_margin,inventory_turnover,receivables_turnover
001690,1980-09-30,1980,INDL,C,D,STD,3663,65.35,39.401,37.78,54.106,2.474,34.191,17.441,117.126,65.952,23.586,11.698,11.698,1980,1.4321334039174167,0.5271307570142932,0.6029227237949504,0.4508073528845044,0.4369140925157523,0.09987534791591961,1.9289286654382731,6.71555530072817
001690,1980-09-30,1980,INDL,C,D,STD,3663,65.35,39.401,37.78,54.106,2.474,34.191,17.441,117.126,65.952,23.586,11.698,11.698,1980,1.4321334039174167,0.5271307570142932,0.6029227237949504,0.4508073528845044,0.4369140925157523,0.09987534791591961,1.9289286654382731,6.71555530072817
001690,1981-09-30,1981,INDL,C,D,STD,3663,254.838,77.451,70.28,227.104,72.834,103.873,42.33,334.783,171.771,66.143,39.42,39.42,1981,3.2314171883893,1.7534291405805351,0.3039224919360535,0.22222598048334996,0.48691839191356795,0.11774791432061962,1.6536636084449277,7.908882589180251
001690,1981-09-30,1981,INDL,C,D,STD,3663,254.838,77.451,70.28,227.104,72.834,103.873,42.33,334.783,171.771,66.143,39.42,39.42,1981,3.2314171883893,1.7534291405805351,0.3039224919360535,0.22222598048334996,0.48691839191356795,0.11774791432061962,1.6536636084449277,7.908882589180251
001690,1982-09-30,1982,INDL,C,D,STD,3663,357.787,100.695,85.756,317.075,153.056,81.229,71.478,583.061,271.445,102.209,61.306,61.306,1982,3.6974089276552076,2.7501982368580626,0.2814383977058976,0.23845938418931745,0.5344483681810308,0.10514508773524553,3.341725245909712,8.157209211225833
001690,1982-09-30,1982,INDL,C,D,STD,3663,357.787,100.695,85.756,317.075,153.056,81.229,71.478,583.061,271.445,102.209,61.306,61.306,1982,3.6974089276552076,2.7501982368580626,0.2814383977058976,0.23845938418931745,0.5344483681810308,0.10514508773524553,3.341725245909712,8.157209211225833
001690,1983-09-30,1983,INDL,C,D,STD,3663,556.579,178.678,128.786,468.993,143.284,142.457,136.42,982.769,483.325,129.639,76.714,76.714,1983,3.6416458310685944,2.535492988368301,0.32102900037550824,0.2030002566809826,0.5082008081247984,0.07805903523615416,3.3927781716588163,7.203995015393638
001690,1983-09-30,1983,INDL,C,D,STD,3663,556.579,178.678,128.786,468.993,143.284,142.457,136.42,982.769,483.325,129.639,76.714,76.714,1983,3.6416458310685944,2.535492988368301,0.32102900037550824,0.2030002566809826,0.5082008081247984,0.07805903523615416,3.3927781716588163,7.203995015393638
001690,1984-09-30,1984,INDL,C,D,STD,3663,788.786,324.221,255.184,687.551,114.888,264.619,258.238,1515.876,840.623,91.448,64.055,64.055,1984,2.694334284281146,1.657360963069785,0.4110379748119262,0.13788167425441006,0.4454539817240988,0.04225609482569815,3.1767295621251685,5.870073343195037
001690,1984-09-30,1984,INDL,C,D,STD,3663,788.786,324.221,255.184,687.551,114.888,264.619,258.238,1515.876,840.623,91.448,64.055,64.055,1984,2.694334284281146,1.657360963069785,0.4110379748119262,0.13788167425441006,0.4454539817240988,0.04225609482569815,3.1767295621251685,5.870073343195037
001690,1985-09-30,1985,INDL,C,D,STD,3663,936.177,385.69,295.425,822.065,337.013,166.951,220.157,1918.28,1076.023,147.225,61.223,61.223,1985,2.7826521113649827,2.2175306761445377,0.4119840585701208,0.11121606868100425,0.4390688533477908,0.03191557019830265,6.445142586747009,8.713236463069537
001690,1985-09-30,1985,INDL,C,D,STD,3663,936.177,385.69,295.425,822.065,337.013,166.951,220.157,1918.28,1076.023,147.225,61.223,61.223,1985,2.7826521113649827,2.2175306761445377,0.4119840585701208,0.11121606868100425,0.4390688533477908,0.03191557019830265,6.445142586747009,8.713236463069537
001690,1986-09-30,1986,INDL,C,D,STD,3663,1160.128,466.041,328.535,1040.934,576.215,108.68,263.126,1901.897,840.037,273.53,153.963,153.963,1986,3.1684112803810853,2.837609387127703,0.4017151555690407,0.2218208956514097,0.5583162495129862,0.08095233338082977,7.729453441295546,7.228084643858836
001690,1986-09-30,1986,INDL,C,D,STD,3663,1160.128,466.041,328.535,1040.934,576.215,108.68,263.126,1901.897,840.037,273.53,153.963,153.963,1986,3.1684112803810853,2.837609387127703,0.4017151555690407,0.2218208956514097,0.5583162495129862,0.08095233338082977,7.729453441295546,7.228084643858836
001690,1987-09-30,1987,INDL,C,D,STD,3663,1477.931,641.443,478.678,1307.425,565.094,225.753,405.637,2661.068,1225.704,371.438,217.496,217.496,1987,2.731324606520458,2.2597069428718264,0.4340141725154963,0.260010902726638,0.5393939576140107,0.08173259758863734,5.429402931522505,6.560220098265198
001690,1987-09-30,1987,INDL,C,D,STD,3663,1477.931,641.443,478.678,1307.425,565.094,225.753,405.637,2661.068,1225.704,371.438,217.496,217.496,1987,2.731324606520458,2.2597069428718264,0.4340141725154963,0.260010902726638,0.5393939576140107,0.08173259758863734,5.429402931522505,6.560220098265198
001690,1988-09-30,1988,INDL,C,D,STD,3663,2082.086,1078.661,827.093,1782.994,545.717,461.47,638.816,4071.373,1913.202,620.338,400.258,400.258,1988,2.1557358120549925,1.5977937184814766,0.5180674573480635,0.3988917956000699,0.5300843229053197,0.09831032430582999,4.145885973086007,6.373310937734809
001690,1988-09-30,1988,INDL,C,D,STD,3663,2082.086,1078.661,827.093,1782.994,545.717,461.47,638.816,4071.373,1913.202,620.338,400.258,400.258,1988,2.1557358120549925,1.5977937184814766,0.5180674573480635,0.3988917956000699,0.5300843229053197,0.09831032430582999,4.145885973086007,6.373310937734809
001690,1989-09-30,1989,INDL,C,D,STD,3663,2743.899,1258.153,895.243,2294.428,808.95,475.377,792.824,5284.013,2570.023,634.313,454.033,454.033,1989,2.5629108521373523,2.031907537953382,0.4585274457988432,0.3055926113884877,0.513622884727952,0.08592579162844603,5.406283854709,6.664799501528713
001690,1989-09-30,1989,INDL,C,D,STD,3663,2743.899,1258.153,895.243,2294.428,808.95,475.377,792.824,5284.013,2570.023,634.313,454.033,454.033,1989,2.5629108521373523,2.031907537953382,0.4585274457988432,0.3055926113884877,0.513622884727952,0.08592579162844603,5.406283854709,6.664799501528713
001690,1990-09-30,1990,INDL,C,D,STD,3663,2975.707,1528.887,1027.055,2403.326,997.091,355.473,761.868,5558.435,2403.537,745.685,474.895,474.895,1990,2.340016844278057,1.9939078238263772,0.5137894960760586,0.32823364343871386,0.5675874594197828,0.08543681809718022,6.761517752403135,7.295797959751558
001690,1990-09-30,1990,INDL,C,D,STD,3663,2975.707,1528.887,1027.055,2403.326,997.091,355.473,761.868,5558.435,2403.537,745.685,474.895,474.895,1990,2.340016844278057,1.9939078238263772,0.5137894960760586,0.32823364343871386,0.5675874594197828,0.08543681809718022,6.761517752403135,7.295797959751558
001690,1991-09-30,1991,INDL,C,D,STD,3663,3493.597,1726.921,1217.051,2863.61,892.719,671.655,907.159,6308.849,3109.685,671.392,309.841,309.841,1991,2.3529087934688033,1.8010379187067758,0.4943103053958427,0.17538077157328225,0.5070915471269006,0.04911212806012634,4.629884390051441,6.9545129354391015
001690,1991-09-30,1991,INDL,C,D,STD,3663,3493.597,1726.921,1217.051,2863.61,892.719,671.655,907.159,6308.849,3109.685,671.392,309.841,309.841,1991,2.3529087934688033,1.8010379187067758,0.4943103053958427,0.17538077157328225,0.5070915471269006,0.04911212806012634,4.629884390051441,6.9545129354391015
001690,1992-09-30,1992,INDL,C,D,STD,3663,4223.693,2036.323,1425.52,3558.394,1435.5,580.097,1087.185,7086.542,3774.155,805.808,530.373,530.373,1992,2.496207699646445,2.089270581963073,0.4821190839391026,0.24247063825507348,0.4674193704066102,0.07484228556043272,6.506075708028141,6.518248504164426
001690,1992-09-30,1992,INDL,C,D,STD,3663,4223.693,2036.323,1425.52,3558.394,1435.5,580.097,1087.185,7086.542,3774.155,805.808,530.373,530.373,1992,2.496207699646445,2.089270581963073,0.4821190839391026,0.24247063825507348,0.4674193704066102,0.07484228556043272,6.506075708028141,6.518248504164426
